id,name,team,position,jersey,dob,age,western,chinese,chineseEnglish,chineseYearOnly,cnyDiffers,lifePath,lifePathDigitSum,natalCompound,yearsExp,college
00-0041547,KC Concepcion,CLE,WR,1,2004-09-24,21,Libra,Monkey,Wood Monkey,Monkey,false,39/12/3,21/3,21/3,0,Texas A&M; N.C. State
00-0038609,Luke Wypler,CLE,OL,56,2001-05-03,25,Taurus,Snake,Metal Snake,Snake,false,11,11,11,3,Ohio State
00-0039920,Malachi Corley,CLE,WR,11,2002-03-21,24,Aries,Horse,Water Horse,Horse,false,28/10/1,10/1,10/1,2,Western Kentucky
00-0033131,Maliek Collins,CLE,DL,96,1995-04-08,31,Aries,Pig,Wood Pig,Pig,false,36/9,36/9,36/9,10,Nebraska
00-0040685,Mason Graham,CLE,DL,94,2003-09-03,23,Virgo,Goat,Water Goat,Goat,false,17/8,17/8,17/8,1,Michigan
00-0038565,Mekhi Blackmon,CLE,DB,29,1999-03-18,27,Pisces,Rabbit,Earth Rabbit,Rabbit,false,49/13/4,40/4,40/4,3,USC; Colorado
00-0031595,Michael Burton,CLE,RB,34,1992-02-01,34,Aquarius,Goat,Metal Goat,Monkey,true,24/6,24/6,24/6,11,Rutgers
00-0039895,Mike Hall Jr.,CLE,DL,51,2003-06-13,23,Gemini,Goat,Water Goat,Goat,false,24/6,15/6,15/6,2,Ohio State
00-0039417,Myles Harden,CLE,DB,26,2001-12-13,24,Sagittarius,Snake,Metal Snake,Snake,false,28/10/1,10/1,10/1,2,South Dakota
00-0039406,Nathaniel Watson,CLE,LB,40,2000-09-01,26,Virgo,Dragon,Metal Dragon,Dragon,false,12/3,12/3,12/3,2,Mississippi State
00-0036287,Noah Igbinoghene,CLE,DB,20,1999-11-27,26,Sagittarius,Rabbit,Earth Rabbit,Rabbit,false,66/12/3,39/12/3,39/12/3,6,Auburn
00-0035680,Quincy Williams,CLE,LB,5,1996-08-28,30,Virgo,Rat,Fire Rat,Rat,false,61/7,43/7,43/7,7,Murray State
00-0040784,Quinshon Judkins,CLE,RB,10,2003-10-29,22,Scorpio,Goat,Water Goat,Goat,false,44/8,17/8,17/8,1,Ohio State; Mississippi
00-0040466,Raheim Sanders,CLE,RB,23,2002-06-08,24,Gemini,Horse,Water Horse,Horse,false,18/9,18/9,18/9,1,South Carolina; Arkansas
00-0036443,Rex Sunahara,CLE,LS,50,1996-10-09,29,Libra,Rat,Fire Rat,Rat,false,44/8,35/8,35/8,6,West Virginia
00-0038715,Ronnie Hickman Jr.,CLE,DB,33,2001-10-11,24,Libra,Snake,Metal Snake,Snake,false,24/6,6,6,3,Ohio State
00-0037665,Sam Williams,CLE,DL,54,1999-03-31,27,Aries,Rabbit,Earth Rabbit,Rabbit,false,62/8,35/8,35/8,4,Mississippi
00-0040668,Shedeur Sanders,CLE,QB,2,2002-02-07,24,Aquarius,Snake,Metal Snake,Horse,true,13/4,13/4,13/4,1,Colorado; Jackson State University
00-0041030,Spencer Fano,CLE,OL,55,2004-11-04,21,Scorpio,Monkey,Wood Monkey,Monkey,false,21/3,12/3,12/3,0,Utah
00-0036630,Tylan Wallace,CLE,WR,16,1999-05-13,27,Taurus,Rabbit,Earth Rabbit,Rabbit,false,46/10/1,37/10/1,37/10/1,5,Oklahoma State
00-0036974,Tyson Campbell,CLE,DB,7,2000-03-17,26,Pisces,Dragon,Metal Dragon,Dragon,false,22,13/4,13/4,5,Georgia
00-0035234,Tytus Howard,CLE,OL,71,1996-05-23,30,Gemini,Rat,Fire Rat,Rat,false,53/8,35/8,35/8,7,Alabama State
00-0039515,Winston Reid,CLE,LB,59,1999-08-03,27,Leo,Rabbit,Earth Rabbit,Rabbit,false,39/12/3,39/12/3,39/12/3,2,Weber State
00-0039350,Zak Zinter,CLE,OL,70,2001-04-17,25,Aries,Snake,Metal Snake,Snake,false,24/6,15/6,15/6,2,Michigan
00-0037818,Zion Johnson,CLE,OL,77,1999-11-18,26,Scorpio,Rabbit,Earth Rabbit,Rabbit,false,57/12/3,39/12/3,39/12/3,4,Boston College; Davidson
00-0040045,Alijah Clark,DAL,DB,11,2003-07-11,23,Cancer,Goat,Water Goat,Goat,false,23/5,14/5,14/5,1,Syracuse; Rutgers
00-0038624,Ameer Speed,DAL,DB,23,1999-10-11,26,Libra,Rabbit,Earth Rabbit,Rabbit,false,49/13/4,31/4,31/4,3,Michigan State; Georgia
00-0037692,Brandon Aubrey,DAL,K,17,1995-03-14,31,Pisces,Pig,Wood Pig,Pig,false,41/5,32/5,32/5,4,Notre Dame
00-0039530,Brevyn Spann-Ford,DAL,TE,89,1999-12-27,26,Capricorn,Rabbit,Earth Rabbit,Rabbit,false,67/13/4,40/4,40/4,2,Minnesota
00-0039109,Broderick Jones,DAL,OL,77,2001-05-16,25,Taurus,Snake,Metal Snake,Snake,false,24/6,15/6,15/6,3,Georgia
00-0029692,Bryan Anger,DAL,P,5,1988-10-06,37,Libra,Dragon,Earth Dragon,Dragon,false,42/6,33,33,14,California
00-0040865,Caleb Downs,DAL,DB,13,2004-12-10,21,Sagittarius,Monkey,Wood Monkey,Monkey,false,28/10/1,10/1,10/1,0,Ohio State
00-0036358,CeeDee Lamb,DAL,WR,88,1999-04-08,27,Aries,Rabbit,Earth Rabbit,Rabbit,false,40/4,40/4,40/4,6,Oklahoma
00-0037839,Cobie Durant,DAL,DB,2,1998-02-09,28,Aquarius,Tiger,Earth Tiger,Tiger,false,38/11,38/11,38/11,4,South Carolina State
00-0039348,Cooper Beebe,DAL,OL,56,2001-05-19,25,Taurus,Snake,Metal Snake,Snake,false,27/9,18/9,18/9,2,Kansas State
00-0036728,Curtis Robinson,DAL,LB,42,1998-06-02,28,Gemini,Tiger,Earth Tiger,Tiger,false,35/8,35/8,35/8,5,Stanford
00-0033077,Dak Prescott,DAL,QB,4,1993-07-29,33,Leo,Rooster,Water Rooster,Rooster,false,58/13/4,40/4,40/4,10,Mississippi State
00-0037275,DaRon Bland,DAL,DB,26,1999-07-12,27,Cancer,Rabbit,Earth Rabbit,Rabbit,false,47/11,38/11,38/11,4,Fresno State
00-0038625,Dee Winters,DAL,LB,53,2000-10-17,25,Libra,Dragon,Metal Dragon,Dragon,false,29/11,11,11,3,TCU
00-0040725,Donovan Ezeiruaku,DAL,LB,6,2003-05-25,23,Gemini,Goat,Water Goat,Goat,false,35/8,17/8,17/8,1,Boston College
00-0040874,Drew Shelton,DAL,OL,67,2003-12-26,22,Capricorn,Goat,Water Goat,Goat,false,43/7,16/7,16/7,0,Penn State
00-0038705,Emari Demercado,DAL,RB,31,1999-01-20,27,Aquarius,Tiger,Earth Tiger,Rabbit,true,49/13/4,31/4,31/4,3,TCU
00-0037247,George Pickens,DAL,WR,3,2001-03-04,25,Pisces,Snake,Metal Snake,Snake,false,10/1,10/1,10/1,4,Georgia
00-0038738,Hunter Luepke,DAL,RB,30,2000-02-28,26,Pisces,Dragon,Metal Dragon,Dragon,false,32/5,14/5,14/5,3,North Dakota State
00-0040872,Jaishawn Barham,DAL,LB,55,2004-02-02,22,Aquarius,Monkey,Wood Monkey,Monkey,false,10/1,10/1,10/1,0,Michigan; Maryland
00-0038041,Jake Ferguson,DAL,TE,87,1999-01-18,27,Capricorn,Tiger,Earth Tiger,Rabbit,true,47/11,38/11,38/11,4,Wisconsin
00-0035705,Jalen Thompson,DAL,DB,34,1998-07-18,28,Cancer,Tiger,Earth Tiger,Tiger,false,52/7,43/7,43/7,7,Washington State
00-0036997,Javonte Williams,DAL,RB,33,2000-04-25,26,Taurus,Dragon,Metal Dragon,Dragon,false,31/4,13/4,13/4,5,North Carolina
00-0033093,Jonathan Bullard,DAL,DL,90,1993-10-22,32,Libra,Rooster,Water Rooster,Rooster,false,54/9,27/9,27/9,10,Florida
00-0039062,Jonathan Mingo,DAL,WR,18,2001-04-20,25,Taurus,Snake,Metal Snake,Snake,false,27/9,9,9,3,Mississippi
00-0040043,Justin Barron,DAL,LB,45,2001-10-25,24,Scorpio,Snake,Metal Snake,Snake,false,38/11,11,11,1,Syracuse
00-0037801,KaVontae Turpin,DAL,WR,9,1996-08-02,30,Leo,Rat,Fire Rat,Rat,false,35/8,35/8,35/8,7,TCU
00-0033120,Kenny Clark,DAL,DL,97,1995-10-04,30,Libra,Pig,Wood Pig,Pig,false,38/11,29/11,29/11,10,UCLA
00-0040880,LT Overton,DAL,DL,99,2004-10-11,21,Libra,Monkey,Wood Monkey,Monkey,false,27/9,9,9,0,Alabama
00-0038547,Luke Schoonmaker,DAL,TE,86,1998-09-28,27,Libra,Tiger,Earth Tiger,Tiger,false,64/10/1,46/10/1,46/10/1,3,Michigan
00-0041537,Malachi Lawrence,DAL,LB,57,2003-07-21,23,Cancer,Goat,Water Goat,Goat,false,33,15/6,15/6,0,UCF
00-0037561,Markquese Bell,DAL,DB,14,1999-01-06,27,Capricorn,Tiger,Earth Tiger,Rabbit,true,35/8,35/8,35/8,4,Florida A&M
00-0036105,Nick Leverett,DAL,OL,51,1997-11-11,28,Scorpio,Ox,Fire Ox,Ox,false,48/12/3,30/3,30/3,6,Rice; North Carolina Central
00-0037270,Otito Ogbonnia,DAL,DL,91,2000-08-25,26,Virgo,Dragon,Metal Dragon,Dragon,false,35/8,17/8,17/8,4,UCLA
00-0035227,P.J. Locke,DAL,DB,1,1997-02-12,29,Aquarius,Ox,Fire Ox,Ox,false,40/4,31/4,31/4,7,Texas
00-0035718,Quinnen Williams,DAL,DL,92,1997-12-21,28,Sagittarius,Ox,Fire Ox,Ox,false,59/14/5,32/5,32/5,7,Alabama
00-0034967,Rashan Gary,DAL,LB,7,1997-12-03,28,Sagittarius,Ox,Fire Ox,Ox,false,41/5,32/5,32/5,7,Michigan
00-0039410,Ryan Flournoy,DAL,WR,19,1999-10-27,26,Scorpio,Rabbit,Earth Rabbit,Rabbit,false,65/11,38/11,38/11,2,Southeast Missouri State; Iowa Western CC
00-0037077,Sam Howell,DAL,QB,16,2000-09-16,26,Virgo,Dragon,Metal Dragon,Dragon,false,27/9,18/9,18/9,4,North Carolina
00-0040008,Shavon Revel Jr.,DAL,DB,28,2002-04-12,24,Aries,Horse,Water Horse,Horse,false,20/2,11,11,1,East Carolina; Louisburg
00-0040011,Shemar James,DAL,LB,50,2004-06-24,22,Cancer,Monkey,Wood Monkey,Monkey,false,36/9,18/9,18/9,1,Florida
00-0036036,Terence Steele,DAL,OL,78,1997-06-04,29,Gemini,Ox,Fire Ox,Ox,false,36/9,36/9,36/9,6,Texas Tech
00-0038731,TJ Bass,DAL,OL,66,1999-03-31,27,Aries,Rabbit,Earth Rabbit,Rabbit,false,62/8,35/8,35/8,3,Oregon; Butte College
00-0034198,Trent Sieg,DAL,LS,44,1995-05-19,31,Taurus,Pig,Wood Pig,Pig,false,48/12/3,39/12/3,39/12/3,8,Colorado State
00-0040007,Tyler Booker,DAL,OL,52,2004-04-12,22,Aries,Monkey,Wood Monkey,Monkey,false,22,13/4,13/4,1,Alabama
00-0039341,Tyler Guyton,DAL,OL,60,2002-06-11,24,Gemini,Horse,Water Horse,Horse,false,21/3,12/3,12/3,2,Oklahoma; TCU
00-0038742,Tyrus Wheat,DAL,LB,59,1999-12-08,26,Sagittarius,Rabbit,Earth Rabbit,Rabbit,false,48/12/3,39/12/3,39/12/3,3,Mississippi State
00-0027940,Von Miller,DAL,LB,40,1989-03-26,37,Aries,Snake,Earth Snake,Snake,false,56/11,38/11,38/11,15,Texas A&M
00-0036727,Adam Prentice,DEN,RB,46,1997-01-16,29,Capricorn,Rat,Fire Rat,Ox,true,43/7,34/7,34/7,5,South Carolina
00-0036422,Adam Trautman,DEN,TE,82,1997-02-05,29,Aquarius,Rat,Fire Rat,Ox,true,33,33,33,6,Dayton
00-0038649,Alex Forsyth,DEN,OL,54,1999-02-13,27,Aquarius,Tiger,Earth Tiger,Rabbit,true,43/7,34/7,34/7,3,Oregon
00-0038796,Alex Palczewski,DEN,OL,63,1999-08-03,27,Leo,Rabbit,Earth Rabbit,Rabbit,false,39/12/3,39/12/3,39/12/3,3,Illinois
00-0031898,Alex Singleton,DEN,LB,49,1993-12-07,32,Sagittarius,Rooster,Water Rooster,Rooster,false,41/5,32/5,32/5,11,Montana State
00-0034978,Ben Powers,DEN,OL,74,1996-10-29,29,Scorpio,Rat,Fire Rat,Rat,false,64/10/1,37/10/1,37/10/1,7,Oklahoma; Butler County JC
00-0039732,Bo Nix,DEN,QB,10,2000-02-25,26,Pisces,Dragon,Metal Dragon,Dragon,false,29/11,11,11,2,Oregon; Auburn
00-0036221,Brandon Jones,DEN,DB,22,1998-04-02,28,Aries,Tiger,Earth Tiger,Tiger,false,33,33,33,6,Texas
00-0034348,Courtland Sutton,DEN,WR,14,1995-10-10,30,Libra,Pig,Wood Pig,Pig,false,44/8,26/8,26/8,8,SMU
00-0033297,D.J. Jones,DEN,DL,93,1995-01-19,31,Capricorn,Dog,Wood Dog,Pig,true,44/8,35/8,35/8,9,Mississippi; East Mississippi JC
00-0036683,Devon Key,DEN,DB,26,1997-10-28,28,Scorpio,Ox,Fire Ox,Ox,false,64/10/1,37/10/1,37/10/1,5,Western Kentucky
00-0037799,Dondrea Tillman,DEN,LB,92,1998-04-30,28,Taurus,Tiger,Earth Tiger,Tiger,false,61/7,34/7,34/7,6,"Indiana PA,  University of"
00-0033881,Evan Engram,DEN,TE,1,1994-09-02,32,Virgo,Dog,Wood Dog,Dog,false,34/7,34/7,34/7,9,Mississippi
00-0038106,Eyioma Uwazurike,DEN,DL,96,1998-05-06,28,Taurus,Tiger,Earth Tiger,Tiger,false,38/11,38/11,38/11,4,Iowa State
00-0033538,Garett Bolles,DEN,OL,72,1992-05-27,34,Gemini,Monkey,Water Monkey,Monkey,false,53/8,35/8,35/8,9,Utah; Snow
00-0036158,J.K. Dobbins,DEN,RB,27,1998-12-17,27,Sagittarius,Tiger,Earth Tiger,Tiger,false,56/11,38/11,38/11,6,Ohio State
00-0037384,Ja'Quan McMillian,DEN,DB,29,2000-06-04,26,Gemini,Dragon,Metal Dragon,Dragon,false,12/3,12/3,12/3,4,East Carolina
00-0040720,Jahdae Barron,DEN,DB,23,2001-12-04,24,Sagittarius,Snake,Metal Snake,Snake,false,19/10/1,10/1,10/1,1,Texas
00-0035264,Jarrett Stidham,DEN,QB,8,1996-08-08,30,Leo,Rat,Fire Rat,Rat,false,41/5,41/5,41/5,7,Auburn; McLennan CC; Baylor
00-0036613,Jaylen Waddle,DEN,WR,17,1998-11-25,27,Sagittarius,Tiger,Earth Tiger,Tiger,false,63/9,36/9,36/9,5,Alabama
00-0040223,Jeremy Crawshaw,DEN,P,16,2001-05-22,25,Gemini,Snake,Metal Snake,Snake,false,30/3,12/3,12/3,1,Florida
00-0038605,JL Skinner,DEN,DB,34,2001-04-16,25,Aries,Snake,Metal Snake,Snake,false,23/5,14/5,14/5,3,Boise State
00-0041496,Jonah Coleman,DEN,RB,20,2003-08-20,23,Leo,Goat,Water Goat,Goat,false,33,15/6,15/6,0,Washington; Arizona
00-0039809,Jonah Elliss,DEN,LB,52,2003-04-03,23,Aries,Goat,Water Goat,Goat,false,12/3,12/3,12/3,2,Utah
00-0040634,Jordan Turner,DEN,LB,55,2001-12-13,24,Sagittarius,Snake,Metal Snake,Snake,false,28/10/1,10/1,10/1,1,Michigan State; Wisconsin
00-0036428,Justin Strnad,DEN,LB,40,1996-08-21,30,Leo,Rat,Fire Rat,Rat,false,54/9,36/9,36/9,6,Wake Forest
00-0040449,Karene Reid,DEN,LB,47,2000-02-19,26,Pisces,Dragon,Metal Dragon,Dragon,false,23/5,14/5,14/5,1,Utah
00-0039371,Kris Abrams-Draine,DEN,DB,31,2001-10-04,24,Libra,Snake,Metal Snake,Snake,false,17/8,8,8,2,Missouri
00-0035406,Lil'Jordan Humphrey,DEN,WR,5,1998-04-19,28,Aries,Tiger,Earth Tiger,Tiger,false,50/5,41/5,41/5,7,Texas
00-0037278,Luke Wattenberg,DEN,OL,60,1997-09-10,29,Virgo,Ox,Fire Ox,Ox,false,45/9,36/9,36/9,4,Washington
00-0035763,Malcolm Roach,DEN,DL,97,1998-06-09,28,Gemini,Tiger,Earth Tiger,Tiger,false,42/6,42/6,42/6,6,Texas
00-0036392,Matt Peart,DEN,OL,79,1997-06-11,29,Gemini,Ox,Fire Ox,Ox,false,43/7,34/7,34/7,6,Connecticut
00-0034847,Mike McGlinchey,DEN,OL,69,1995-01-12,31,Capricorn,Dog,Wood Dog,Pig,true,37/10/1,28/10/1,28/10/1,8,Notre Dame
00-0036943,Mitchell Fraboni,DEN,LS,48,1996-10-28,29,Scorpio,Rat,Fire Rat,Rat,false,63/9,36/9,36/9,5,Arizona State
00-0038783,Nate Adkins,DEN,TE,45,1999-07-09,27,Cancer,Rabbit,Earth Rabbit,Rabbit,false,44/8,44/8,44/8,3,South Carolina
00-0037249,Nik Bonitto,DEN,LB,15,1999-09-26,26,Libra,Rabbit,Earth Rabbit,Rabbit,false,63/9,45/9,45/9,4,Oklahoma
00-0040134,Pat Bryant,DEN,WR,13,2002-12-10,23,Sagittarius,Horse,Water Horse,Horse,false,26/8,8,8,1,Illinois
00-0036874,Pat Surtain II,DEN,DB,2,2000-04-14,26,Aries,Dragon,Metal Dragon,Dragon,false,20/2,11,11,5,Alabama
00-0040168,Que Robinson,DEN,LB,51,2001-05-12,25,Taurus,Snake,Metal Snake,Snake,false,20/2,11,11,1,Alabama
00-0037001,Quinn Meinerz,DEN,OL,77,1998-11-15,27,Scorpio,Tiger,Earth Tiger,Tiger,false,53/8,35/8,35/8,5,Wisconsin-Whitewater
00-0038552,Riley Moss,DEN,DB,21,2000-03-03,26,Pisces,Dragon,Metal Dragon,Dragon,false,8,8,8,3,Iowa
00-0040153,Sai'vion Jones,DEN,DL,95,2003-07-03,23,Cancer,Goat,Water Goat,Goat,false,15/6,15/6,15/6,1,LSU
00-0036564,Talanoa Hufanga,DEN,DB,9,2000-02-01,26,Aquarius,Rabbit,Earth Rabbit,Dragon,true,5,5,5,5,USC
00-0039868,Troy Franklin,DEN,WR,11,2003-02-06,23,Aquarius,Goat,Water Goat,Goat,false,13/4,13/4,13/4,2,Oregon
00-0037752,Tycen Anderson,DEN,DB,6,1999-06-13,27,Gemini,Rabbit,Earth Rabbit,Rabbit,false,47/11,38/11,38/11,4,Toledo
00-0037085,Tyler Badie,DEN,RB,28,1999-02-07,27,Aquarius,Tiger,Earth Tiger,Rabbit,true,37/10/1,37/10/1,37/10/1,4,Missouri
00-0032569,Wil Lutz,DEN,K,3,1994-07-07,32,Cancer,Dog,Wood Dog,Dog,false,37/10/1,37/10/1,37/10/1,10,Georgia State
00-0035248,Zach Allen,DEN,DL,99,1997-08-20,29,Leo,Ox,Fire Ox,Ox,false,54/9,36/9,36/9,7,Boston College
00-0037236,Aidan Hutchinson,DET,DL,97,2000-08-09,26,Leo,Dragon,Metal Dragon,Dragon,false,19/10/1,19/10/1,19/10/1,4,Michigan
00-0036624,Alim McNeill,DET,DL,54,2000-05-11,26,Taurus,Dragon,Metal Dragon,Dragon,false,18/9,9,9,5,N.C. State
00-0036963,Amon-Ra St. Brown,DET,WR,14,1999-10-24,26,Scorpio,Rabbit,Earth Rabbit,Rabbit,false,62/8,35/8,35/8,5,USC
00-0034377,Avonte Maddox,DET,DB,29,1996-03-31,30,Aries,Rat,Fire Rat,Rat,false,59/14/5,32/5,32/5,8,Pittsburgh
00-0036272,Ben Bartch,DET,OL,78,1998-07-22,28,Cancer,Tiger,Earth Tiger,Tiger,false,56/11,38/11,38/11,6,St. John's (MN)
00-0036754,Brock Wright,DET,TE,89,1998-11-27,27,Sagittarius,Tiger,Earth Tiger,Tiger,false,65/11,38/11,38/11,5,Notre Dame
00-0038820,Christian Izien,DET,DB,5,2000-06-08,26,Gemini,Dragon,Metal Dragon,Dragon,false,16/7,16/7,16/7,3,Rutgers
00-0033294,Chuck Clark,DET,DB,36,1995-04-19,31,Aries,Pig,Wood Pig,Pig,false,47/11,38/11,38/11,9,Virginia Tech
00-0034384,D.J. Reed,DET,DB,4,1996-11-11,29,Scorpio,Rat,Fire Rat,Rat,false,47/11,29/11,29/11,8,Kansas State; Cerritos College; Fresno State
00-0036335,D.J. Wonnum,DET,LB,98,1997-10-31,28,Scorpio,Ox,Fire Ox,Ox,false,67/13/4,31/4,31/4,6,South Carolina
00-0036964,Derrick Barnes,DET,LB,55,1999-05-29,27,Gemini,Rabbit,Earth Rabbit,Rabbit,false,62/8,44/8,44/8,5,Purdue
00-0041441,Derrick Moore,DET,LB,8,2002-12-06,23,Sagittarius,Horse,Water Horse,Horse,false,22,13/4,13/4,0,Michigan
00-0037414,Devin Cochran,DET,OL,77,1998-07-17,28,Cancer,Tiger,Earth Tiger,Tiger,false,51/6,42/6,42/6,4,Georgia Tech
00-0035707,Devin White,DET,LB,45,1998-02-17,28,Aquarius,Tiger,Earth Tiger,Tiger,false,46/10/1,37/10/1,37/10/1,7,LSU
00-0041459,Eric O'Neill,DET,DL,66,2003-07-01,23,Cancer,Goat,Water Goat,Goat,false,13/4,13/4,13/4,0,Rutgers; Long Island Coll.-Brooklyn
00-0039445,Hogan Hatten,DET,LS,49,2000-08-06,26,Leo,Dragon,Metal Dragon,Dragon,false,16/7,16/7,16/7,2,Idaho
00-0040669,Isaac TeSlaa,DET,WR,18,2002-02-20,24,Pisces,Horse,Water Horse,Horse,false,26/8,8,8,1,Arkansas; Hillsdale
00-0039018,Jack Campbell,DET,LB,46,2000-08-22,26,Leo,Dragon,Metal Dragon,Dragon,false,32/5,14/5,14/5,3,Iowa
00-0035156,Jack Fox,DET,P,3,1996-09-01,30,Virgo,Rat,Fire Rat,Rat,false,35/8,35/8,35/8,7,Rice
00-0040390,Jackson Meeks,DET,TE,13,2003-03-24,23,Aries,Goat,Water Goat,Goat,false,32/5,14/5,14/5,1,Syracuse
00-0038896,Jacob Saylors,DET,RB,25,2000-03-08,26,Pisces,Dragon,Metal Dragon,Dragon,false,13/4,13/4,13/4,3,East Tennessee State
00-0039139,Jahmyr Gibbs,DET,RB,0,2002-03-20,24,Pisces,Horse,Water Horse,Horse,false,27/9,9,9,3,Alabama; Georgia Tech
00-0039172,Jake Bates,DET,K,39,1999-03-03,27,Pisces,Rabbit,Earth Rabbit,Rabbit,false,34/7,34/7,34/7,3,Arkansas; Central Arkansas
00-0037240,Jameson Williams,DET,WR,1,2001-03-26,25,Aries,Snake,Metal Snake,Snake,false,32/5,14/5,14/5,4,Alabama; Ohio State
00-0033106,Jared Goff,DET,QB,16,1994-10-14,31,Libra,Dog,Wood Dog,Dog,false,47/11,29/11,29/11,10,California
00-0035895,Joe Bachie,DET,LB,35,1998-02-26,28,Pisces,Tiger,Earth Tiger,Tiger,false,55/10/1,37/10/1,37/10/1,6,Michigan State
00-0033949,Joshua Dobbs,DET,QB,11,1995-01-26,31,Aquarius,Dog,Wood Dog,Pig,true,51/6,33,33,9,Tennessee
00-0038936,Juice Scruggs,DET,OL,70,2000-01-19,26,Capricorn,Rabbit,Earth Rabbit,Dragon,true,22,13/4,13/4,3,Penn State
00-0036124,Khalil Dorsey,DET,DB,30,1998-03-31,28,Aries,Tiger,Earth Tiger,Tiger,false,61/7,34/7,34/7,6,Northern Arizona
00-0036905,Larry Borom,DET,OL,79,1999-03-30,27,Aries,Rabbit,Earth Rabbit,Rabbit,false,61/7,34/7,34/7,5,Missouri
00-0036954,Levi Onwuzurike,DET,DL,95,1998-03-02,28,Pisces,Tiger,Earth Tiger,Tiger,false,32/5,32/5,32/5,5,Washington
00-0037289,Malcolm Rodriguez,DET,LB,44,1999-03-29,27,Aries,Rabbit,Earth Rabbit,Rabbit,false,60/6,42/6,42/6,4,Oklahoma State
00-0040193,Miles Frazier,DET,OL,71,2001-09-12,25,Virgo,Snake,Metal Snake,Snake,false,24/6,15/6,15/6,1,LSU; Florida International
00-0036880,Penei Sewell,DET,OL,58,2000-10-09,25,Libra,Dragon,Metal Dragon,Dragon,false,21/3,12/3,12/3,5,Oregon
00-0035637,Rock Ya-Sin,DET,DB,23,1996-05-23,30,Gemini,Rat,Fire Rat,Rat,false,53/8,35/8,35/8,7,Temple
00-0038125,Roger McCreary,DET,DB,21,2000-02-10,26,Aquarius,Dragon,Metal Dragon,Dragon,false,14/5,5,5,4,Auburn
00-0039065,Sam LaPorta,DET,TE,87,2001-01-12,25,Capricorn,Dragon,Metal Dragon,Snake,true,16/7,7,7,3,Iowa
00-0040374,Seth McLaughlin,DET,OL,65,2001-08-27,25,Virgo,Snake,Metal Snake,Snake,false,38/11,20/2,20/2,1,Ohio State; Alabama
00-0039364,Sione Vaki,DET,RB,33,2001-07-30,25,Leo,Snake,Metal Snake,Snake,false,40/4,13/4,13/4,2,Utah
00-0041447,Skyler Gill-Howard,DET,DL,50,2002-10-13,23,Libra,Horse,Water Horse,Horse,false,27/9,9,9,0,Texas Tech
00-0040728,Tate Ratledge,DET,OL,69,2001-04-26,25,Taurus,Snake,Metal Snake,Snake,false,33,15/6,15/6,1,Georgia
00-0037524,Tay Martin,DET,WR,17,1997-12-14,28,Sagittarius,Ox,Fire Ox,Ox,false,52/7,34/7,34/7,4,Oklahoma State
00-0039660,Thomas Harper,DET,DB,12,2000-11-05,25,Scorpio,Dragon,Metal Dragon,Dragon,false,18/9,9,9,2,Notre Dame; Oklahoma State
00-0035544,Tom Kennedy,DET,WR,85,1996-07-29,30,Leo,Rat,Fire Rat,Rat,false,61/7,43/7,43/7,7,Bryant
00-0038660,Trevor Nowaske,DET,LB,53,1998-11-07,27,Scorpio,Tiger,Earth Tiger,Tiger,false,45/9,36/9,36/9,3,Saginaw Valley State
00-0040672,Tyleik Williams,DET,DL,91,2003-02-24,23,Pisces,Goat,Water Goat,Goat,false,31/4,13/4,13/4,1,Ohio State
00-0034270,Tyler Conklin,DET,TE,83,1995-07-30,31,Leo,Pig,Wood Pig,Pig,false,61/7,34/7,34/7,8,Central Michigan; Northwood
00-0038940,Tyler Lacy,DET,DL,93,1999-11-10,26,Scorpio,Rabbit,Earth Rabbit,Rabbit,false,49/13/4,31/4,31/4,3,Oklahoma State
00-0036551,Aaron Banks,GB,OL,65,1997-09-03,29,Virgo,Ox,Fire Ox,Ox,false,38/11,38/11,38/11,5,Notre Dame
00-0040726,Anthony Belton,GB,OL,71,2001-02-23,25,Pisces,Snake,Metal Snake,Snake,false,28/10/1,10/1,10/1,1,N.C. State; Georgia Military
00-0040689,Anthony Campbell,GB,DL,93,2000-09-09,26,Virgo,Dragon,Metal Dragon,Dragon,false,20/2,20/2,20/2,1,Miami; Louisiana-Monroe; Independence Comm. College
00-0040010,Barryn Sorrell,GB,LB,99,2002-12-22,23,Capricorn,Horse,Water Horse,Horse,false,38/11,11,11,1,Texas
00-0037091,Bo Melton,GB,WR,16,1999-05-18,27,Taurus,Rabbit,Earth Rabbit,Rabbit,false,51/6,42/6,42/6,4,Rutgers
00-0041470,Brandon Cisse,GB,DB,2,2005-07-03,21,Cancer,Rooster,Wood Rooster,Rooster,false,17/8,17/8,17/8,0,South Carolina; N.C. State
00-0038463,Brenton Cox Jr.,GB,LB,57,2000-01-30,26,Aquarius,Rabbit,Earth Rabbit,Dragon,true,33,6,6,3,Florida; Georgia
00-0038408,Carrington Valentine,GB,DB,24,2001-09-09,25,Virgo,Snake,Metal Snake,Snake,false,21/3,21/3,21/3,3,Kentucky
00-0038685,Chris Brooks,GB,RB,30,2000-01-11,26,Capricorn,Rabbit,Earth Rabbit,Dragon,true,14/5,5,5,3,BYU; California
00-0040869,Chris McClellan,GB,DL,55,2003-10-17,22,Libra,Goat,Water Goat,Goat,false,32/5,14/5,14/5,0,Missouri; Florida
